"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC","comparison_mode","n_groups"
"s__ovatus","Group",0.0259091488160898,0.148773095053817,"IBS_before","DESeq2","IBS_before vs IBS_after",855.027718521317,9.73982738021191,"all_pairwise",3
"s__fragilis","Group",0.1362813265605,0.483179248714499,"IBS_before","DESeq2","IBS_before vs IBS_after",219.131743244393,7.77565467686021,"all_pairwise",3
"s__longicatena","Group",0.299862253739807,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",126.549942716487,6.98356304417979,"all_pairwise",3
"s__longum","Group",0.693609611876829,0.966099102257011,"IBS_before","DESeq2","IBS_before vs IBS_after",2.2300886409824,1.15710105515194,"all_pairwise",3
"s__adolescentis","Group",2.43963231574098e-07,9.51456603138982e-06,"IBS_before","DESeq2","IBS_before vs IBS_after",6396799.37713006,22.6089188060411,"all_pairwise",3
"s__D168","Group",0.460827859501224,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",105.883419876494,6.72633288737065,"all_pairwise",3
"s__parainfluenzae","Group",0.627265560996245,0.940898341494368,"IBS_after","DESeq2","IBS_before vs IBS_after",0.258485065964858,-1.95184716398282,"all_pairwise",3
"s__viridiflava","Group",0.919156197637156,0.999999380309114,"IBS_before","DESeq2","IBS_before vs IBS_after",1.36166732753179,0.445374277840699,"all_pairwise",3
"s__dispar","Group",0.0375587718275754,0.162754677919494,"IBS_before","DESeq2","IBS_before vs IBS_after",662.184703294468,9.37108987411866,"all_pairwise",3
"s__aerofaciens","Group",0.984983271814617,0.999999380309114,"IBS_after","DESeq2","IBS_before vs IBS_after",0.944971800175456,-0.0816568177801691,"all_pairwise",3
"s__plebeius","Group",0.675661895276027,0.966099102257011,"IBS_after","DESeq2","IBS_before vs IBS_after",0.2502148261239,-1.99876081800669,"all_pairwise",3
"s__producta","Group",0.465251640957115,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",55.6995954079699,5.79959494300859,"all_pairwise",3
"s__yabuuchiae","Group",0.22179000405965,0.720817513193862,"IBS_before","DESeq2","IBS_before vs IBS_after",109.314133501668,6.77233613254622,"all_pairwise",3
"s__bromii","Group",0.723838493454447,0.973437973955981,"IBS_after","DESeq2","IBS_before vs IBS_after",0.37690949495437,-1.40770995562656,"all_pairwise",3
"s__biforme","Group",0.0267028632147877,0.148773095053817,"IBS_before","DESeq2","IBS_before vs IBS_after",976348.964172489,19.8970373588025,"all_pairwise",3
"s__reuteri","Group",0.515378479105833,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",61.7841903739679,5.9491658167226,"all_pairwise",3
"s__uniformis","Group",0.0326538484690579,0.159187511286657,"IBS_before","DESeq2","IBS_before vs IBS_after",756.573280772104,9.56333601667979,"all_pairwise",3
"s__caccae","Group",0.84891326820595,0.999999380309114,"IBS_after","DESeq2","IBS_before vs IBS_after",0.358750143824499,-1.47894868471618,"all_pairwise",3
"s__formicigenerans","Group",0.983893395713338,0.999999380309114,"IBS_after","DESeq2","IBS_before vs IBS_after",0.95206501787611,-0.0708679942906362,"all_pairwise",3
"s__obeum","Group",0.3972327975421,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",116.220214701975,6.86071721474662,"all_pairwise",3
"s__torques","Group",0.00408479733470104,0.0492042827108152,"IBS_before","DESeq2","IBS_before vs IBS_after",682035.027962744,19.3794863095373,"all_pairwise",3
"s__eutactus","Group",0.998538145725902,0.999999380309114,"IBS_before","DESeq2","IBS_before vs IBS_after",1.0102579217345,0.0147236641690101,"all_pairwise",3
"s__parvula","Group",0.53126704844547,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",15.9028416801701,3.99121267873545,"all_pairwise",3
"s__palleronii","Group",0.00630824137318144,0.0492042827108152,"IBS_before","DESeq2","IBS_before vs IBS_after",104232.080977237,16.669439858996,"all_pairwise",3
"s__putredinis","Group",0.00540760546928544,0.0492042827108152,"IBS_before","DESeq2","IBS_before vs IBS_after",1212909.83023172,20.2100408713796,"all_pairwise",3
"s__citroniae","Group",0.521029202537803,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",74.0726933858377,6.21086989143503,"all_pairwise",3
"s__bifidum","Group",0.55931346386761,0.872529003633471,"IBS_before","DESeq2","IBS_before vs IBS_after",31.7198929033094,4.98731599492909,"all_pairwise",3
"__","Group",0.658919708673987,0.902964045219908,"IBS_after","DESeq2","UC_before vs IBS_after",0.780563507372016,-0.357412078900258,"all_pairwise",3
"s__","Group",0.304427891046183,0.662578351100516,"UC_before","DESeq2","UC_before vs IBS_after",1.68092362425554,0.749254174656767,"all_pairwise",3
"s__ramosum","Group",0.000336936932708248,0.00311666662755129,"UC_before","DESeq2","UC_before vs IBS_after",1116932.2872073,20.0911102959947,"all_pairwise",3
"s__prausnitzii","Group",0.978377291551931,0.978377291551931,"IBS_after","DESeq2","UC_before vs IBS_after",0.950705198942838,-0.0729300450292704,"all_pairwise",3
"s__gnavus","Group",0.973110851231787,0.978377291551931,"UC_before","DESeq2","UC_before vs IBS_after",1.0679952694113,0.0949052567520863,"all_pairwise",3
"s__distasonis","Group",0.87075607151686,0.978377291551931,"IBS_after","DESeq2","UC_before vs IBS_after",0.647392385018268,-0.62728769900508,"all_pairwise",3
"s__formicilis","Group",0.628167453860125,0.893930607416331,"IBS_after","DESeq2","UC_before vs IBS_after",0.217543852575959,-2.20062184557264,"all_pairwise",3
"s__mucilaginosa","Group",0.0463074596371619,0.169931709110555,"UC_before","DESeq2","UC_before vs IBS_after",324.550543749423,8.34229936303249,"all_pairwise",3
"s__lenta","Group",0.212309842071768,0.561104582618243,"UC_before","DESeq2","UC_before vs IBS_after",134.545723805214,7.07195272907675,"all_pairwise",3
"s__helveticus","Group",0.354976077594607,0.729673048388914,"UC_before","DESeq2","UC_before vs IBS_after",76.410093870577,6.25569132758724,"all_pairwise",3
"s__copri","Group",0.254383486803502,0.588261813233098,"UC_before","DESeq2","UC_before vs IBS_after",111.250559982292,6.79766878771121,"all_pairwise",3
"s__muciniphila","Group",0.940259956241354,0.978377291551931,"UC_before","DESeq2","UC_before vs IBS_after",1.20859016865934,0.273325111518823,"all_pairwise",3
"s__ovatus","Group",1.54609182969064e-05,0.000286026988492769,"UC_before","DESeq2","UC_before vs IBS_after",2407963.28065558,21.1993819617457,"all_pairwise",3
"s__fragilis","Group",0.140849635899647,0.400879732945148,"UC_before","DESeq2","UC_before vs IBS_after",207.434593706827,7.69651270112683,"all_pairwise",3
"s__longicatena","Group",0.00120767478948103,0.0089367934421596,"UC_before","DESeq2","UC_before vs IBS_after",739428.736947753,19.4960515875405,"all_pairwise",3
"s__longum","Group",0.511386649895738,0.881299938725996,"UC_before","DESeq2","UC_before vs IBS_after",3.05785570692717,1.61252033089359,"all_pairwise",3
"s__adolescentis","Group",6.70852184288163e-07,2.4821530818662e-05,"UC_before","DESeq2","UC_before vs IBS_after",29852075.4482985,24.8313279017277,"all_pairwise",3
"s__parainfluenzae","Group",0.6008780252897,0.893580024828539,"IBS_after","DESeq2","UC_before vs IBS_after",0.189714118582638,-2.39810104633718,"all_pairwise",3
"s__viridiflava","Group",0.908596518026202,0.978377291551931,"UC_before","DESeq2","UC_before vs IBS_after",1.35754257823338,0.440997447711275,"all_pairwise",3
"s__dispar","Group",0.0562763480616638,0.173518739856797,"UC_before","DESeq2","UC_before vs IBS_after",419.978088749628,8.71417025081647,"all_pairwise",3
"s__aerofaciens","Group",0.787336183374287,0.93972383176931,"IBS_after","DESeq2","UC_before vs IBS_after",0.399364888782619,-1.32422059486926,"all_pairwise",3
"s__plebeius","Group",0.598031417658003,0.893580024828539,"IBS_after","DESeq2","UC_before vs IBS_after",0.107243965655709,-3.22103162164741,"all_pairwise",3
"s__producta","Group",0.000180378909201059,0.00222467321347973,"UC_before","DESeq2","UC_before vs IBS_after",1432642.94011586,20.4502476585391,"all_pairwise",3
"s__yabuuchiae","Group",0.248846047077447,0.588261813233098,"UC_before","DESeq2","UC_before vs IBS_after",68.4001103437463,6.09592674737057,"all_pairwise",3
"s__bromii","Group",0.524016179783025,0.881299938725996,"IBS_after","DESeq2","UC_before vs IBS_after",0.0919609137189133,-3.44283538910362,"all_pairwise",3
"s__biforme","Group",0.488784939555063,0.881299938725996,"UC_before","DESeq2","UC_before vs IBS_after",60.5986107508571,5.9212128145621,"all_pairwise",3
"s__reuteri","Group",0.379089292345513,0.738226516672842,"UC_before","DESeq2","UC_before vs IBS_after",89.2813098906783,6.48028628870906,"all_pairwise",3
"s__uniformis","Group",0.0505202378436785,0.169931709110555,"UC_before","DESeq2","UC_before vs IBS_after",475.51267369375,8.89333998308235,"all_pairwise",3
"s__caccae","Group",0.753178276294985,0.929892429451766,"IBS_after","DESeq2","UC_before vs IBS_after",0.193166115494969,-2.37208605089348,"all_pairwise",3
"s__formicigenerans","Group",0.882425224963888,0.978377291551931,"IBS_after","DESeq2","UC_before vs IBS_after",0.666211042023647,-0.585948828925626,"all_pairwise",3
"s__obeum","Group",0.00568159348185086,0.0350364931380803,"UC_before","DESeq2","UC_before vs IBS_after",747363.033463408,19.5114496804381,"all_pairwise",3
"s__parvula","Group",0.722347899351817,0.929892429451766,"UC_before","DESeq2","UC_before vs IBS_after",6.4207862191961,2.68274996480661,"all_pairwise",3
"s__palleronii","Group",0.0111637447053528,0.0516323192622569,"UC_before","DESeq2","UC_before vs IBS_after",441092.407803328,18.7507214030403,"all_pairwise",3
"s__mucosae","Group",0.00764908971092963,0.0404309027577709,"UC_before","DESeq2","UC_before vs IBS_after",240745.367399189,17.8771485113653,"all_pairwise",3
"s__putredinis","Group",0.753966834690621,0.929892429451766,"UC_before","DESeq2","UC_before vs IBS_after",12.2703307804249,3.61710223621469,"all_pairwise",3
"s__citroniae","Group",0.60377028704631,0.893580024828539,"UC_before","DESeq2","UC_before vs IBS_after",49.0354674025405,5.61575372444437,"all_pairwise",3
"s__bifidum","Group",0.0125952670403968,0.051780542277187,"UC_before","DESeq2","UC_before vs IBS_after",584705.477573693,19.1573505811144,"all_pairwise",3
"__","Group",0.999999971610408,0.999999971610408,"UC_before","DESeq2","UC_before vs IBS_before",1.00000000018635,2.68842859143934e-10,"all_pairwise",3
"s__","Group",0.000357944548937477,0.0143177819574991,"UC_before","DESeq2","UC_before vs IBS_before",1.79001299866017,0.839970064045107,"all_pairwise",3
"s__ramosum","Group",0.12629415766239,0.406248728879059,"UC_before","DESeq2","UC_before vs IBS_before",3.10960757114665,1.63673252540952,"all_pairwise",3
"s__prausnitzii","Group",0.102122690294294,0.406248728879059,"UC_before","DESeq2","UC_before vs IBS_before",1.71079486732925,0.77466678400695,"all_pairwise",3
"s__gnavus","Group",0.196768533086557,0.477255032571499,"UC_before","DESeq2","UC_before vs IBS_before",1.65356695550384,0.725581463683036,"all_pairwise",3
"s__distasonis","Group",0.466560797589783,0.746497276143653,"UC_before","DESeq2","UC_before vs IBS_before",1.38273212390762,0.467521690875723,"all_pairwise",3
"s__formicilis","Group",0.216919546124605,0.477255032571499,"IBS_before","DESeq2","UC_before vs IBS_before",0.56618972144593,-0.820642535953813,"all_pairwise",3
"s__mucilaginosa","Group",0.117169300874974,0.406248728879059,"UC_before","DESeq2","UC_before vs IBS_before",2.08650867605371,1.0610909195822,"all_pairwise",3
"s__lenta","Group",0.278213633964378,0.505842970844324,"UC_before","DESeq2","UC_before vs IBS_before",2.06327907092957,1.04493896762135,"all_pairwise",3
"s__helveticus","Group",0.537638803089287,0.81460654871846,"UC_before","DESeq2","UC_before vs IBS_before",1.74586580493512,0.803942671226803,"all_pairwise",3
"s__copri","Group",0.000993214853819646,0.0198642970763929,"IBS_before","DESeq2","UC_before vs IBS_before",0.128834692128996,-2.95640696554046,"all_pairwise",3
"s__muciniphila","Group",0.100756286116683,0.406248728879059,"IBS_before","DESeq2","UC_before vs IBS_before",0.526854802822407,-0.924522674031145,"all_pairwise",3
"s__ovatus","Group",0.549859420384961,0.81460654871846,"UC_before","DESeq2","UC_before vs IBS_before",1.34200980967922,0.424395217233947,"all_pairwise",3
"s__fragilis","Group",0.291709676793236,0.507321177031715,"UC_before","DESeq2","UC_before vs IBS_before",1.82355316721404,0.866752263264832,"all_pairwise",3
"s__longicatena","Group",0.119468912145501,0.406248728879059,"UC_before","DESeq2","UC_before vs IBS_before",3.09197856780187,1.62853031918737,"all_pairwise",3
"s__longum","Group",0.00570838869326629,0.0570838869326629,"UC_before","DESeq2","UC_before vs IBS_before",2.50317638986346,1.3237599561541,"all_pairwise",3
"s__adolescentis","Group",0.0995831385766876,0.406248728879059,"UC_before","DESeq2","UC_before vs IBS_before",2.42759023013041,1.27952491959604,"all_pairwise",3
"s__D168","Group",0.2116316900325,0.477255032571499,"IBS_before","DESeq2","UC_before vs IBS_before",0.203072879519736,-2.29993051500196,"all_pairwise",3
"s__parainfluenzae","Group",0.619190586136292,0.856257811534628,"UC_before","DESeq2","UC_before vs IBS_before",1.29806131082114,0.376358527195797,"all_pairwise",3
"s__viridiflava","Group",0.191728714981944,0.477255032571499,"UC_before","DESeq2","UC_before vs IBS_before",1.92311399188064,0.943444280434852,"all_pairwise",3
"s__dispar","Group",0.815241185838465,0.931704212386818,"UC_before","DESeq2","UC_before vs IBS_before",1.12125986967954,0.165120684252722,"all_pairwise",3
"s__aerofaciens","Group",0.747210397627597,0.905709572881936,"IBS_before","DESeq2","UC_before vs IBS_before",0.832027944150289,-0.265296111941624,"all_pairwise",3
"s__plebeius","Group",0.666228143028514,0.859649216810985,"IBS_before","DESeq2","UC_before vs IBS_before",0.751460999771473,-0.412229863528597,"all_pairwise",3
"s__producta","Group",0.00406472566174005,0.054196342156534,"UC_before","DESeq2","UC_before vs IBS_before",8.27789926146972,3.04926469168703,"all_pairwise",3
"s__yabuuchiae","Group",0.901165815335518,0.952915129798818,"IBS_before","DESeq2","UC_before vs IBS_before",0.930609727444876,-0.103751827561022,"all_pairwise",3
"s__bromii","Group",0.0113193349232993,0.0905546793863944,"IBS_before","DESeq2","UC_before vs IBS_before",0.257387559842338,-1.95798576855283,"all_pairwise",3
"s__biforme","Group",0.620786913362606,0.856257811534628,"IBS_before","DESeq2","UC_before vs IBS_before",0.570123926519152,-0.810652546238366,"all_pairwise",3
"s__reuteri","Group",0.328290654438759,0.547151090731266,"UC_before","DESeq2","UC_before vs IBS_before",2.55076514351306,1.35093007185809,"all_pairwise",3
"s__uniformis","Group",0.803195773591613,0.931704212386818,"UC_before","DESeq2","UC_before vs IBS_before",1.12895505953015,0.174988057693357,"all_pairwise",3
"s__caccae","Group",0.65156464109543,0.859649216810985,"IBS_before","DESeq2","UC_before vs IBS_before",0.646331271050688,-0.629654300550858,"all_pairwise",3
"s__formicigenerans","Group",0.697244965724739,0.871556207155924,"UC_before","DESeq2","UC_before vs IBS_before",1.19178177152772,0.25312008650639,"all_pairwise",3
"s__obeum","Group",0.248090860724832,0.477255032571499,"UC_before","DESeq2","UC_before vs IBS_before",2.78932716445047,1.4799171601993,"all_pairwise",3
"s__torques","Group",0.250558892100037,0.477255032571499,"IBS_before","DESeq2","UC_before vs IBS_before",0.335750911934739,-1.57453677671808,"all_pairwise",3
"s__eutactus","Group",0.132030836885694,0.406248728879059,"IBS_before","DESeq2","UC_before vs IBS_before",0.175768253412127,-2.50825357492259,"all_pairwise",3
"s__parvula","Group",0.919140170380816,0.952915129798818,"IBS_before","DESeq2","UC_before vs IBS_before",0.917846178723389,-0.123675701365266,"all_pairwise",3
"s__palleronii","Group",0.909490098324252,0.952915129798818,"UC_before","DESeq2","UC_before vs IBS_before",1.08920449101439,0.123274836035319,"all_pairwise",3
"s__mucosae","Group",0.0327380613586102,0.218253742390735,"UC_before","DESeq2","UC_before vs IBS_before",8.39219080379585,3.06904747922128,"all_pairwise",3
"s__putredinis","Group",0.247093574221413,0.477255032571499,"IBS_before","DESeq2","UC_before vs IBS_before",0.311030704450912,-1.68487108696711,"all_pairwise",3
"s__citroniae","Group",0.929092251553848,0.952915129798818,"UC_before","DESeq2","UC_before vs IBS_before",1.10492895556414,0.143953610566619,"all_pairwise",3
"s__bifidum","Group",0.205805150777632,0.477255032571499,"UC_before","DESeq2","UC_before vs IBS_before",3.31413525463895,1.72863248222594,"all_pairwise",3
